代码,名称,调整天数,单阳日,现价,筛选时间,类型
002355,兴民智通,2,2026-05-06,6.68,2026-05-12 10:57:16,强势型
000925,众合科技,2,2026-05-06,9.82,2026-05-12 10:57:16,强势型
600821,金开新能,2,2026-05-06,8.78,2026-05-12 10:57:16,强势型
600081,东风科技,2,2026-05-06,12.69,2026-05-12 10:57:16,强势型
000060,中金岭南,1,2026-05-07,7.95,2026-05-12 10:57:16,强势型
002698,博实股份,1,2026-05-07,14.98,2026-05-12 10:57:16,强势型
601199,江南水务,1,2026-05-07,6.28,2026-05-12 10:57:16,强势型
603636,南威软件,1,2026-05-07,11.11,2026-05-12 10:57:16,强势型
002930,宏川智慧,1,2026-05-07,16.04,2026-05-12 10:57:16,强势型
605006,山东玻纤,1,2026-05-07,14.87,2026-05-12 10:57:16,强势型
603316,诚邦股份,1,2026-05-07,19.15,2026-05-12 10:57:16,强势型
603997,继峰股份,1,2026-05-07,13.17,2026-05-12 10:57:16,强势型
600969,郴电国际,1,2026-05-07,11.22,2026-05-12 10:57:16,强势型
