代码,名称,调整天数,单阳日,现价,筛选时间,类型
603038,华立股份,5,2026-06-01,16.15,2026-06-11 12:27:40,中势型
600539,狮头股份,5,2026-06-01,15.4,2026-06-11 12:27:40,中势型
603856,东宏股份,5,2026-06-01,12.33,2026-06-11 12:27:40,中势型
603201,XD常润股,5,2026-06-01,18.05,2026-06-11 12:27:40,中势型
000829,天音控股,5,2026-06-03,9.19,2026-06-11 12:27:40,中势型
603212,赛伍技术,4,2026-06-02,16.57,2026-06-11 12:27:40,中势型
002446,盛路通信,3,2026-06-05,10.83,2026-06-11 12:27:40,强势型
002786,银宝山新,1,2026-06-05,8.61,2026-06-11 12:27:40,强势型
002708,光洋股份,1,2026-06-05,15.09,2026-06-11 12:27:40,强势型
002892,科力尔,1,2026-06-05,10.89,2026-06-11 12:27:40,强势型
600819,耀皮玻璃,1,2026-06-05,6.72,2026-06-11 12:27:40,强势型
002354,天娱数科,1,2026-06-05,7.33,2026-06-11 12:27:40,强势型
603065,宿迁联盛,1,2026-06-05,9.45,2026-06-11 12:27:40,强势型
603725,天安新材,1,2026-06-05,12.69,2026-06-11 12:27:40,强势型
