代码,名称,调整天数,单阳日,现价,筛选时间,类型
603693,江苏新能,4,2026-05-21,18.94,2026-05-27 11:52:43,中势型
600909,华安证券,4,2026-05-21,7.64,2026-05-27 11:52:43,中势型
601636,旗滨集团,4,2026-05-21,6.99,2026-05-27 11:52:43,中势型
600857,宁波中百,4,2026-05-18,14.25,2026-05-27 11:52:43,中势型
001258,立新能源,4,2026-05-21,10.26,2026-05-27 11:52:43,中势型
603158,腾龙股份,2,2026-05-25,15.25,2026-05-27 11:52:43,强势型
600590,泰豪科技,1,2026-05-26,14.45,2026-05-27 11:52:43,强势型
600578,京能电力,1,2026-05-21,8.22,2026-05-27 11:52:43,强势型
000712,锦龙股份,1,2026-05-26,11.02,2026-05-27 11:52:43,强势型
600635,大众公用,1,2026-05-26,5.81,2026-05-27 11:52:43,强势型
000403,派林生物,1,2026-05-21,11.51,2026-05-27 11:52:43,强势型
