代码,名称,调整天数,单阳日,现价,筛选时间,类型
688432,有研硅,5,2026-01-16,14.37,2026-02-28 08:52:32,中势型
688597,煜邦电力,5,2026-01-16,9.92,2026-02-28 08:52:32,中势型
688096,京源环保,5,2026-01-15,9.35,2026-02-28 08:52:32,中势型
688517,金冠电气,4,2026-01-19,18.05,2026-02-28 08:52:32,中势型
688156,路德环境,4,2026-01-19,19.76,2026-02-28 08:52:32,中势型
600667,太极实业,3,2026-02-24,11.08,2026-02-28 08:52:32,强势型
002283,天润工业,3,2026-02-24,11.14,2026-02-28 08:52:32,强势型
603330,天洋新材,3,2026-02-24,8.01,2026-02-28 08:52:32,强势型
600869,远东股份,3,2026-02-24,15.04,2026-02-28 08:52:32,强势型
600884,杉杉股份,2,2026-02-25,15.09,2026-02-28 08:52:32,强势型
603002,宏昌电子,2,2026-02-25,11.54,2026-02-28 08:52:32,强势型
002350,北京科锐,1,2026-02-26,12.32,2026-02-28 08:52:32,强势型
600510,黑牡丹,1,2026-02-26,10.46,2026-02-28 08:52:32,强势型
000039,中集集团,1,2026-02-26,13.5,2026-02-28 08:52:32,强势型
600916,中国黄金,1,2026-02-24,11.59,2026-02-28 08:52:32,强势型
600237,铜峰电子,1,2026-02-26,11.0,2026-02-28 08:52:32,强势型
