date,code,name,price
2026-07-20,002062,宏润建设,7.56
2026-07-20,002066,瑞泰科技,20.43
2026-07-20,603098,森特股份,9.93
2026-07-20,002347,泰尔股份,5.47
2026-07-20,603997,继峰股份,12.48
2026-07-20,601061,中信金属,10.82
2026-07-20,601108,财通证券,9.01
2026-07-20,002624,完美世界,11.24
2026-07-20,002783,凯龙股份,7.01
2026-07-20,600189,泉阳泉,7.61
2026-07-20,002973,侨银股份,10.33
2026-07-20,600560,金自天正,10.65
2026-07-20,000803,山高环能,6.53
2026-07-20,601677,明泰铝业,16.2
2026-07-20,603018,华设集团,5.35
2026-07-20,603095,越剑智能,13.02
2026-07-20,000957,中通客车,9.8
2026-07-20,603218,日月股份,9.62
2026-07-20,002358,森源电气,5.2
2026-07-20,600897,厦门空港,14.85
2026-07-20,601777,千里科技,7.61
2026-07-20,603697,有友食品,10.57
2026-07-20,002177,御银股份,5.22
2026-07-20,002184,海得控制,9.35
