date,code,name,price
2026-04-11,600232,金鹰股份,8.59
2026-04-11,600212,绿能慧充,7.51
2026-04-11,002083,孚日股份,12.82
2026-04-11,000559,万向钱潮,16.32
2026-04-11,600156,华升股份,8.15
2026-04-11,603101,汇嘉时代,8.83
2026-04-11,001299,美能能源,15.32
2026-04-11,002492,恒基达鑫,7.96
2026-04-11,600379,宝光股份,12.79
2026-04-11,002918,蒙娜丽莎,11.97
2026-04-11,002363,隆基机械,8.67
2026-04-11,603088,宁波精达,13.44
2026-04-11,603889,新澳股份,8.75
2026-04-11,601696,中银证券,12.8
2026-04-11,600480,凌云股份,10.79
2026-04-11,600929,雪天盐业,6.65
2026-04-11,600732,爱旭股份,15.27
2026-04-11,600707,彩虹股份,7.02
2026-04-11,002177,御银股份,8.16
2026-04-11,600749,西藏旅游,16.99
2026-04-11,600499,科达制造,18.2
2026-04-11,002534,西子洁能,17.9
2026-04-11,603777,来伊份,16.97
2026-04-11,000967,盈峰环境,10.24
